,Date / Time,Room,Temperature,Temperature Units,CO2 Level,CO2 Units,Floor,Wing
0,08/02/2018 12:18,116,71,°F,,,1,A
1,08/02/2018 12:18,137,73,°F,522,ppm,1,A
2,08/02/2018 12:18,138,76,°F,,,1,A
3,08/02/2018 12:18,139,78,°F,532,ppm,1,A
4,08/02/2018 12:18,260A,73,°F,,,2,A
5,08/02/2018 12:19,260B,74,°F,,,2,A
6,08/02/2018 12:19,264A,82,°F,656,ppm,2,A
7,08/02/2018 12:19,264B,83,°F,711,ppm,2,A
8,08/02/2018 12:19,Guidance,71,°F,,,2,A
9,08/02/2018 12:19,Principal Office,70,°F,,,2,A
10,08/02/2018 12:19,201,85,°F,500,ppm,2,B
11,08/02/2018 12:20,203,85,°F,544,ppm,2,B
12,08/02/2018 12:20,205,85,°F,543,ppm,2,B
13,08/02/2018 12:20,207,75,°F,540,ppm,2,B
14,08/02/2018 12:20,209,83,°F,382,ppm,2,B
15,08/02/2018 12:20,211,75,°F,-232,ppm,2,B
16,08/02/2018 12:20,215,85,°F,465,ppm,2,B
17,08/02/2018 12:21,243,79,°F,508,ppm,2,D
18,08/02/2018 12:21,245,79,°F,440,ppm,2,D
19,08/02/2018 12:21,247,79,°F,549,ppm,2,D
20,08/02/2018 12:22,249,77,°F,500,ppm,2,D
21,08/02/2018 12:22,251,78,°F,597,ppm,2,D
22,08/02/2018 12:22,253,77,°F,443,ppm,2,D
23,08/02/2018 12:22,255A&B,81,°F,461,ppm,2,D
24,08/02/2018 12:24,301,82,°F,534,ppm,3,B
25,08/02/2018 12:24,303,85,°F,,,3,B
26,08/02/2018 12:24,305,84,°F,378,ppm,3,B
27,08/02/2018 12:25,307,85,°F,560,ppm,3,B
28,08/02/2018 12:25,309,84,°F,549,ppm,3,B
29,08/02/2018 12:25,310,76,°F,,,3,B
30,08/02/2018 12:25,311,85,°F,550,ppm,3,B
31,08/02/2018 12:25,313,85,°F,545,ppm,3,B
32,08/02/2018 12:27,320,83,°F,567,ppm,3,C
33,08/02/2018 12:28,323,82,°F,728,ppm,3,C
34,08/02/2018 12:28,325,84,°F,539,ppm,3,C
35,08/02/2018 12:28,326,85,°F,374,ppm,3,C
36,08/02/2018 12:28,328,85,°F,548,ppm,3,C
37,08/02/2018 12:34,335,82,°F,627,ppm,3,D
38,08/02/2018 12:34,337,85,°F,727,ppm,3,D
39,08/02/2018 12:34,339,83,°F,569,ppm,3,D
40,08/02/2018 12:34,341,83,°F,654,ppm,3,D
41,08/02/2018 12:34,343,82,°F,447,ppm,3,D
42,08/02/2018 12:34,345,82,°F,1122,ppm,3,D
43,08/02/2018 12:34,347,81,°F,561,ppm,3,D
44,08/02/2018 12:36,349,82,°F,590,ppm,3,A
45,08/02/2018 12:36,351,81,°F,547,ppm,3,A
46,08/02/2018 12:36,353,85,°F,526,ppm,3,A
47,08/02/2018 12:36,355,79,°F,,,3,A
48,08/02/2018 12:37,357,84,°F,582,ppm,3,A
49,08/02/2018 12:37,359,82,°F,593,ppm,3,A
50,08/02/2018 12:37,361,79,°F,686,ppm,3,A
51,08/02/2018 12:37,363,82,°F,625,ppm,3,A
52,08/02/2018 12:37,365,81,°F,618,ppm,3,A
53,08/02/2018 12:37,367,80,°F,667,ppm,3,A
54,08/02/2018 12:37,369,74,°F,599,ppm,3,A
55,08/02/2018 12:37,370,80,°F,612,ppm,3,A
56,08/02/2018 12:38,373,73,°F,566,ppm,3,A
57,08/02/2018 12:38,375.01,71,°F,510,ppm,3,A
58,08/02/2018 12:38,375.02,75,°F,755,ppm,3,A
59,08/02/2018 12:38,377,74,°F,615,ppm,3,A
60,08/02/2018 12:38,377.01,71,°F,510,ppm,3,A
61,08/02/2018 12:38,379,81,°F,674,ppm,3,A
62,08/02/2018 12:38,381,82,°F,1984,ppm,3,A
63,08/02/2018 12:38,222,78,°F,615,ppm,2,C
64,08/02/2018 12:38,224,82,°F,615,ppm,2,C
65,08/02/2018 12:38,225,81,°F,615,ppm,2,C
66,08/02/2018 12:38,226,82,°F,615,ppm,2,C
67,08/02/2018 12:38,227,76,°F,615,ppm,2,C
68,08/02/2018 12:38,228,83,°F,615,ppm,2,C
69,08/02/2018 12:38,230,79,°F,615,ppm,2,C
70,08/02/2018 12:38,232,80,°F,615,ppm,2,C
71,08/02/2018 12:38,237,81,°F,615,ppm,2,C
72,08/02/2018 12:38,241,83,°F,615,ppm,2,C